Genotype,Evo.trt,Index,Gene,repsWithMutation,pvalue,padj,significant
BY4742,NL,311,YML056C,2,0.019787194,0.029680791,1
BY4742,NL,312,YNR013C,2,0.004293448,0.012880343,1
BY4742,NL,313,YOL061W,2,0.008773567,0.017547135,1
BY4742,NL,314,YLR398C,2,0.034160911,0.040101939,1
BY4742,NL,315,YHL050C,2,0.001866716,0.012320329,1
BY4742,NL,316,YML010W,2,0.009520254,0.017559178,1
BY4742,NL,317,YBR212W,2,0.001493373,0.012320329,1
BY4742,NL,318,YBR223C,2,0.010080269,0.017559178,1
BY4742,NL,319,YCR037C,2,0.002800075,0.012880343,1
BY4742,NL,320,YIL112W,2,0.02613403,0.032760874,1
BY4742,NL,321,YCR081W,2,0.002986746,0.012880343,1
BY4742,NL,322,YGR217W,2,0.025574015,0.032760874,1
BY4742,NL,323,YPL167C,2,0.032480866,0.038977039,1
BY4742,NL,324,YHR023W,2,0.036774314,0.041371103,1
BY4742,NL,325,YPR055W,2,0.024453985,0.032453548,1
pmr1,NL,326,YBL113C,5,0,0,1
pmr1,NL,327,YEL077C,2,0.006720179,0.011200299,1
pmr1,NL,328,YMR317W,3,0.000373343,0.002333396,1
pmr1,NL,329,YAR050W,2,0.004666791,0.009722481,1
pmr1,NL,330,YHR211W,2,0.017547135,0.02437102,1
pmr1,NL,331,YKL164C,2,0.001493373,0.006222388,1
pmr1,NL,332,YPR154W,2,0.003546761,0.008866903,1
pmr1,NL,333,YHR050W,3,0,0,1
pmr1,NL,334,YJL109C,2,0.039947732,0.043421448,1
pmr1,NL,335,YLR318W,3,0.002986746,0.008866903,1
pmr1,NL,336,YMR179W,2,0.024453985,0.029111887,1
pmr1,NL,337,YOR149C,2,0.005600149,0.010769518,1
pmr1,NL,338,YHR054C,2,0.001866716,0.006666844,1
pmr1,NL,339,YLR035C-A,2,0,0,1
pmr1,NL,340,YOL155C,2,0.00336009,0.008866903,1
pmr1,NL,341,YDL185W,2,0.004293448,0.009722481,1
pmr1,NL,342,YNL287W,2,0.024267314,0.029111887,1
pmr1,NL,343,Q0140,2,0.001493373,0.006222388,1
pmr1,NL,344,YJR033C,2,0.008586896,0.013417024,1
pmr1,NL,345,YMR205C,2,0.023147284,0.029111887,1
pmr1,NL,346,YPL012W,2,0.038081015,0.043273881,1
pmr1,NL,347,YCR093W,2,0.045174538,0.04705681,1
pmr1,NL,348,YDR170C,2,0.006720179,0.011200299,1
pmr1,NL,349,YMR093W,2,0.009893597,0.014549408,1
rpl19a,NL,350,YBL113C,5,0,0,1
rpl19a,NL,351,YCR069W,4,0.002053388,0.006048161,1
rpl19a,NL,352,YEL077C,2,0.009706926,0.013794052,1
rpl19a,NL,353,YER011W,2,0.000373343,0.001680045,1
rpl19a,NL,354,YFL067W,2,0.000373343,0.001680045,1
rpl19a,NL,355,YHR054C,4,0.000373343,0.001680045,1
rpl19a,NL,356,YIR006C,3,0.00224006,0.006048161,1
rpl19a,NL,357,YJR138W,2,0.049841329,0.049841329,1
rpl19a,NL,358,YKL209C,2,0.042934478,0.044585804,1
rpl19a,NL,359,YMR317W,4,0,0,1
rpl19a,NL,360,YNR067C,2,0.027814075,0.031290834,1
rpl19a,NL,361,YOL155C,4,0.001866716,0.006048161,1
rpl19a,NL,362,YOR141C,2,0.02613403,0.030679079,1
rpl19a,NL,363,YAR050W,4,0,0,1
rpl19a,NL,364,YCR036W,2,0.007653537,0.012748575,1
rpl19a,NL,365,YDR373W,2,0.002986746,0.007331105,1
rpl19a,NL,366,YHR211W,2,0.029680791,0.032055255,1
rpl19a,NL,367,YIL169C,2,0.005226806,0.010080269,1
rpl19a,NL,368,YOR372C,2,0.008773567,0.013160351,1
rpl19a,NL,369,YOR373W,2,0.006533508,0.011760314,1
rpl19a,NL,370,YDR398W,2,0.01698712,0.020847829,1
rpl19a,NL,371,YHL050C,2,0.00336009,0.007560202,1
rpl19a,NL,372,YLR320W,2,0.008026881,0.012748575,1
rpl19a,NL,373,YML017W,2,0.004480119,0.009304864,1
rpl19a,NL,374,YGL194C,2,0.015680418,0.020160538,1
rpl19a,NL,375,YJL020C,2,0.002053388,0.006048161,1
rpl19a,NL,376,YJR090C,2,0.015307075,0.020160538,1
sch9,NL,377,YFL067W,3,0.001306702,0.00565106,1
sch9,NL,378,YKL010C,2,0.014187045,0.020996827,1
sch9,NL,379,YBR140C,4,0,0,1
sch9,NL,380,YGR023W,2,0.005226806,0.011632591,1
sch9,NL,381,YNL054W,2,0.022587269,0.029847463,1
sch9,NL,382,YOL081W,3,0.001306702,0.00565106,1
sch9,NL,383,YDR173C,2,0.005413478,0.011632591,1
sch9,NL,384,YER033C,2,0.03061415,0.03236353,1
sch9,NL,385,YGR098C,2,0.046481239,0.047772385,1
sch9,NL,386,YKL028W,2,0.012320329,0.019819659,1
sch9,NL,387,YLR278C,2,0.030240806,0.03236353,1
sch9,NL,388,YNL267W,2,0.025200672,0.030557583,1
sch9,NL,389,YNL141W,2,0.005786821,0.011632591,1
sch9,NL,390,YBL113C,4,0,0,1
sch9,NL,391,YER011W,3,0.001680045,0.00565106,1
sch9,NL,392,YAR050W,2,0,0,1
sch9,NL,393,YHL050C,2,0.008773567,0.01545819,1
sch9,NL,394,YPL190C,2,0.016613776,0.023642682,1
sch9,NL,395,YER128W,2,0.00224006,0.006906851,1
sch9,NL,396,YML103C,2,0.024453985,0.030557583,1
